# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
    5.00    0.10000000    0.09999999   -0.94136855    3.44275026    3.10516148    0.54489720   -1.00000000  -1.31661e+01
    5.00    0.10293480    0.10293479   -0.91800281    3.44453821    3.09928338    0.54489720   -1.00000000  -1.31253e+01
    5.00    0.10886160    0.10886159   -0.87109906    3.44813985    3.08765934    0.54489720   -1.00000000  -1.30568e+01
    5.00    0.11174401    0.11174400   -0.84846534    3.44988711    3.08216600    0.54489720   -1.00000000  -1.30288e+01
    5.00    0.11456861    0.11456860   -0.82644175    3.45159655    3.07692795    0.54489720   -1.00000000  -1.30040e+01
    5.00    0.12002870    0.12002869   -0.78411182    3.45489208    3.06700957    0.54489720   -1.00000000  -1.29625e+01
    5.00    0.12269119    0.12269117   -0.76365263    3.45649497    3.06233876    0.54489720   -1.00000000  -1.29448e+01
    5.00    0.12649184    0.12649183   -0.73460286    3.45878322    3.05582724    0.54489720   -1.00000000  -1.29205e+01
    5.00    0.13040086    0.13040085   -0.70496515    3.46111992    3.04930321    0.54489720   -1.00000000  -1.29015e+01
    5.00    0.13533315    0.13533313   -0.66789595    3.46406623    3.04138990    0.54489720   -1.00000000  -1.28788e+01
    5.00    0.13828815    0.13828813   -0.64582842    3.46582994    3.03678422    0.54489720   -1.00000000  -1.28660e+01
    5.00    0.14246197    0.14246195   -0.61494525    3.46830627    3.03050583    0.54489720   -1.00000000  -1.28519e+01
    5.00    0.14701526    0.14701524   -0.58153490    3.47100310    3.02391869    0.54489720   -1.00000000  -1.28378e+01
    5.00    0.14927554    0.14927552   -0.56504757    3.47233877    3.02073433    0.54489720   -1.00000000  -1.28315e+01
    5.00    0.15511169    0.15511167   -0.53305527    3.47512345    3.01520515    0.54489720   -1.00000000  -1.27925e+01
    5.00    0.16115145    0.16115142   -0.50171318    3.47789297    3.01003312    0.54489720   -1.00000000  -1.27555e+01
    5.00    0.16710766    0.16710764   -0.47114638    3.48060746    3.00520754    0.54489720   -1.00000000  -1.27246e+01
    5.00    0.17295824    0.17295821   -0.44138500    3.48325820    3.00066836    0.54489720   -1.00000000  -1.26989e+01
    5.00    0.17870348    0.17870345   -0.41242336    3.48584914    2.99642654    0.54489720   -1.00000000  -1.26772e+01
    5.00    0.18433036    0.18433033   -0.38432685    3.48837113    2.99247833    0.54489720   -1.00000000  -1.26590e+01
    5.00    0.18986533    0.18986529   -0.35691552    3.49083934    2.98877044    0.54489720   -1.00000000  -1.26436e+01
    5.00    0.19532222    0.19532218   -0.33014778    3.49326061    2.98532333    0.54489720   -1.00000000  -1.26305e+01
    5.00    0.20086694    0.20086690   -0.30403248    3.49565586    2.98215805    0.54489720   -1.00000000  -1.26166e+01
    5.00    0.21013912    0.21013908   -0.26871990    3.49916200    2.97884137    0.54489720   -1.00000000  -1.25754e+01
    5.00    0.21733988    0.21733984   -0.24166065    3.50185055    2.97649282    0.54489720   -1.00000000  -1.25506e+01
    5.00    0.22378288    0.22378283   -0.21759005    3.50424579    2.97449101    0.54489720   -1.00000000  -1.25311e+01
    5.00    0.23015551    0.23015546   -0.19402812    3.50659667    2.97268402    0.54489720   -1.00000000  -1.25144e+01
    5.00    0.23722867    0.23722862   -0.16804102    3.50918931    2.97077670    0.54489720   -1.00000000  -1.24980e+01
    5.00    0.24575497    0.24575491   -0.13714129    3.51226949    2.96872335    0.54489720   -1.00000000  -1.24830e+01
