# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
    5.00    0.10000000    0.09999999   -0.74515610    3.50324766    3.15093858    0.54489720   -1.00000000  -1.29930e+01
    5.00    0.10096099    0.10096098   -0.73859092    3.50367582    3.14947050    0.54489720   -1.00000000  -1.29813e+01
    5.00    0.10525176    0.10525175   -0.70935342    3.50557173    3.14292797    0.54489720   -1.00000000  -1.29348e+01
    5.00    0.10950030    0.10950028   -0.68067037    3.50742421    3.13661746    0.54489720   -1.00000000  -1.28963e+01
    5.00    0.11369531    0.11369529   -0.65260722    3.50922834    3.13054490    0.54489720   -1.00000000  -1.28642e+01
    5.00    0.11782927    0.11782925   -0.62521843    3.51098073    3.12472474    0.54489720   -1.00000000  -1.28372e+01
    5.00    0.12189141    0.12189139   -0.59855323    3.51267653    3.11914890    0.54489720   -1.00000000  -1.28144e+01
    5.00    0.12589980    0.12589978   -0.57248564    3.51432460    3.11379045    0.54489720   -1.00000000  -1.27949e+01
    5.00    0.12988326    0.12988323   -0.54682619    3.51593667    3.10860832    0.54489720   -1.00000000  -1.27782e+01
    5.00    0.13382596    0.13382594   -0.52165679    3.51750646    3.10360359    0.54489720   -1.00000000  -1.27638e+01
    5.00    0.13815834    0.13815831   -0.49423927    3.51921564    3.09828065    0.54489720   -1.00000000  -1.27493e+01
    5.00    0.14187449    0.14187446   -0.47097881    3.52063852    3.09379937    0.54489720   -1.00000000  -1.27396e+01
    5.00    0.14729130    0.14729127   -0.43748019    3.52266174    3.08747067    0.54489720   -1.00000000  -1.27282e+01
    5.00    0.15156613    0.15156610   -0.41370703    3.52421643    3.08336923    0.54489720   -1.00000000  -1.27132e+01
    5.00    0.15708499    0.15708496   -0.38858097    3.52616959    3.07984620    0.54489720   -1.00000000  -1.26818e+01
    5.00    0.16445643    0.16445639   -0.35529517    3.52875924    3.07533857    0.54489720   -1.00000000  -1.26457e+01
    5.00    0.17062029    0.17062025   -0.32778341    3.53088637    3.07173744    0.54489720   -1.00000000  -1.26227e+01
    5.00    0.17594080    0.17594076   -0.30420499    3.53271139    3.06875383    0.54489720   -1.00000000  -1.26049e+01
    5.00    0.18382952    0.18382948   -0.26954257    3.53538872    3.06451286    0.54489720   -1.00000000  -1.25828e+01
    5.00    0.18903262    0.18903257   -0.24688492    3.53713641    3.06184735    0.54489720   -1.00000000  -1.25707e+01
    5.00    0.19448395    0.19448390   -0.22329309    3.53895364    3.05914606    0.54489720   -1.00000000  -1.25593e+01
    5.00    0.20218666    0.20218661   -0.19202429    3.54150120    3.05608907    0.54489720   -1.00000000  -1.25408e+01
    5.00    0.20850107    0.20850101   -0.17018706    3.54359690    3.05487321    0.54489720   -1.00000000  -1.25172e+01
    5.00    0.21668621    0.21668614   -0.14207446    3.54629463    3.05341597    0.54489720   -1.00000000  -1.24902e+01
    5.00    0.22531184    0.22531178   -0.11281219    3.54908033    3.05201473    0.54489720   -1.00000000  -1.24678e+01
    5.00    0.23291726    0.23291719   -0.08733020    3.55148511    3.05089268    0.54489720   -1.00000000  -1.24526e+01
    5.00    0.23958296    0.23958289   -0.06510241    3.55358272    3.04997477    0.54489720   -1.00000000  -1.24401e+01
    5.00    0.24795371    0.24795363   -0.03751560    3.55616200    3.04892928    0.54489720   -1.00000000  -1.24283e+01
    5.00    0.25868240    0.25868232   -0.00554474    3.55963442    3.04856386    0.54489720   -1.00000000  -1.23998e+01
    5.00    0.26742383    0.26742374    0.01963559    3.56247436    3.04858644    0.54489720   -1.00000000  -1.23787e+01
    5.00    0.27725345    0.27725336    0.04783500    3.56565394    3.04867177    0.54489720   -1.00000000  -1.23572e+01
    5.00    0.28826039    0.28826028    0.07906716    3.56917302    3.04894679    0.54489720   -1.00000000  -1.23385e+01
    5.00    0.29912751    0.29912740    0.10963288    3.57260941    3.04933607    0.54489720   -1.00000000  -1.23238e+01
    5.00    0.31011532    0.31011520    0.13848947    3.57591012    3.04946346    0.54489720   -1.00000000  -1.23034e+01
    5.00    0.31264812    0.31264799    0.14496966    3.57664181    3.04940233    0.54489720   -1.00000000  -1.22974e+01
    5.00    0.31570181    0.31570168    0.15274068    3.57751998    3.04935451    0.54489720   -1.00000000  -1.22911e+01
