# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
    5.00    0.60792114    0.60792082    0.64201002    3.61292036    2.98612145    0.54489720   -1.00000000  -1.19145e+01
    5.00    0.63056770    0.63056736    0.67208449    3.61566453    2.98276853    0.54489720   -1.00000000  -1.18900e+01
    5.00    0.65381219    0.65381183    0.70268083    3.61845917    2.97931478    0.54489720   -1.00000000  -1.18670e+01
    5.00    0.68065441    0.68065403    0.73561785    3.62129398    2.97499513    0.54489720   -1.00000000  -1.18397e+01
    5.00    0.71006004    0.71005963    0.76976327    3.62413615    2.97016101    0.54489720   -1.00000000  -1.18100e+01
    5.00    0.74606027    0.74605983    0.80661167    3.62686495    2.96387394    0.54489720   -1.00000000  -1.17712e+01
    5.00    0.78181854    0.78181808    0.84327789    3.62963068    2.95778472    0.54489720   -1.00000000  -1.17379e+01
    5.00    0.80782508    0.80782458    0.86971099    3.63167836    2.95373469    0.54489720   -1.00000000  -1.17175e+01
    5.00    0.84583331    0.84583278    0.90857235    3.63468116    2.94762645    0.54489720   -1.00000000  -1.16895e+01
    5.00    0.88152777    0.88152721    0.94512306    3.63754242    2.94200007    0.54489720   -1.00000000  -1.16666e+01
    5.00    0.90446797    0.90446739    0.96793153    3.63930132    2.93837341    0.54489720   -1.00000000  -1.16520e+01
    5.00    0.95246748    0.95246685    1.00840290    3.64207047    2.93116856    0.54489720   -1.00000000  -1.16178e+01
    5.00    0.99518409    0.99518342    1.04351406    3.64446758    2.92503517    0.54489720   -1.00000000  -1.15906e+01
    5.00    1.04089655    1.04089584    1.07833398    3.64675419    2.91887857    0.54489720   -1.00000000  -1.15623e+01
    5.00    1.06285831    1.06285758    1.09430815    3.64777373    2.91603380    0.54489720   -1.00000000  -1.15492e+01
    5.00    1.11384850    1.11384771    1.12998758    3.65004899    2.90981112    0.54489720   -1.00000000  -1.15206e+01
    5.00    1.16066566    1.16066483    1.16079426    3.65195515    2.90452301    0.54489720   -1.00000000  -1.14959e+01
    5.00    1.22175308    1.22175219    1.19867764    3.65428324    2.89822575    0.54489720   -1.00000000  -1.14659e+01
    5.00    1.24639836    1.24639745    1.21327450    3.65517557    2.89586412    0.54489720   -1.00000000  -1.14543e+01
    5.00    1.31269706    1.31269607    1.25054858    3.65740925    2.89003280    0.54489720   -1.00000000  -1.14253e+01
    5.00    1.36376082    1.36375978    1.27755778    3.65902419    2.88606168    0.54489720   -1.00000000  -1.14045e+01
    5.00    1.86603815    1.86603657    1.48246213    3.67147007    2.86711025    0.54489720   -1.00000000  -1.12584e+01
    5.00    1.99040804    1.99040633    1.52075370    3.67389197    2.86654237    0.54489720   -1.00000000  -1.12339e+01
    5.00    2.18222648    2.18222456    1.57401340    3.67729055    2.86683836    0.54489720   -1.00000000  -1.12011e+01
    5.00    2.36574147    2.36573933    1.61995627    3.68020320    2.86761216    0.54489720   -1.00000000  -1.11733e+01
    5.00    2.46241014    2.46240790    1.64273528    3.68161330    2.86786830    0.54489720   -1.00000000  -1.11595e+01
    5.00    2.64808624    2.64808378    1.68407806    3.68404969    2.86784136    0.54489720   -1.00000000  -1.11338e+01
    5.00    2.78359399    2.78359138    1.71247260    3.68566120    2.86756796    0.54489720   -1.00000000  -1.11163e+01
    5.00    2.92518835    2.92518557    1.74056295    3.68717982    2.86686109    0.54489720   -1.00000000  -1.10975e+01
