# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
    5.00    0.10000000    0.09999998   -0.59943329    3.56397558    3.24812743    0.54489720   -1.00000000  -1.28956e+01
    5.00    0.10249931    0.10249929   -0.58370935    3.56504936    3.24550074    0.54489720   -1.00000000  -1.28669e+01
    5.00    0.10710019    0.10710016   -0.55490379    3.56701284    3.24075260    0.54489720   -1.00000000  -1.28211e+01
    5.00    0.11054659    0.11054657   -0.53350556    3.56845536    3.23726206    0.54489720   -1.00000000  -1.27949e+01
    5.00    0.11483348    0.11483345   -0.50704720    3.57024822    3.23307280    0.54489720   -1.00000000  -1.27643e+01
    5.00    0.11790537    0.11790535   -0.48822300    3.57151367    3.23012909    0.54489720   -1.00000000  -1.27468e+01
    5.00    0.12248700    0.12248697   -0.46035056    3.57337748    3.22584756    0.54489720   -1.00000000  -1.27247e+01
    5.00    0.12623118    0.12623115   -0.43770525    3.57489441    3.22245630    0.54489720   -1.00000000  -1.27081e+01
    5.00    0.13006430    0.13006427   -0.41477298    3.57640275    3.21905702    0.54489720   -1.00000000  -1.26969e+01
    5.00    0.13355684    0.13355680   -0.39393370    3.57778451    3.21604485    0.54489720   -1.00000000  -1.26858e+01
    5.00    0.13791378    0.13791374   -0.36820869    3.57947074    3.21240915    0.54489720   -1.00000000  -1.26760e+01
    5.00    0.14080071    0.14080067   -0.35129610    3.58057509    3.21008123    0.54489720   -1.00000000  -1.26708e+01
    5.00    0.14510018    0.14510014   -0.32632960    3.58220078    3.20675945    0.54489720   -1.00000000  -1.26647e+01
    5.00    0.14934684    0.14934680   -0.30195724    3.58378687    3.20368746    0.54489720   -1.00000000  -1.26604e+01
    5.00    0.15355406    0.15355402   -0.28261252    3.58551286    3.20242781    0.54489720   -1.00000000  -1.26391e+01
    5.00    0.16046557    0.16046552   -0.25246500    3.58835930    3.20093633    0.54489720   -1.00000000  -1.26051e+01
    5.00    0.16659808    0.16659803   -0.22589876    3.59085521    3.19967749    0.54489720   -1.00000000  -1.25791e+01
    5.00    0.17195535    0.17195529   -0.20304200    3.59297002    3.19866658    0.54489720   -1.00000000  -1.25625e+01
    5.00    0.17881787    0.17881781   -0.17391673    3.59564988    3.19740865    0.54489720   -1.00000000  -1.25434e+01
    5.00    0.18567888    0.18567882   -0.14506923    3.59827589    3.19620928    0.54489720   -1.00000000  -1.25279e+01
    5.00    0.19025329    0.19025322   -0.12597258    3.60000090    3.19544311    0.54489720   -1.00000000  -1.25193e+01
    5.00    0.19710134    0.19710127   -0.09761757    3.60253748    3.19434614    0.54489720   -1.00000000  -1.25087e+01
    5.00    0.20562622    0.20562614   -0.06619799    3.60564164    3.19349103    0.54489720   -1.00000000  -1.24833e+01
    5.00    0.21447334    0.21447326   -0.03549774    3.60886196    3.19281954    0.54489720   -1.00000000  -1.24533e+01
    5.00    0.22188443    0.22188435   -0.00992212    3.61155147    3.19236616    0.54489720   -1.00000000  -1.24339e+01
    5.00    0.23167558    0.23167549    0.02391004    3.61509709    3.19169366    0.54489720   -1.00000000  -1.24111e+01
    5.00    0.24088410    0.24088400    0.05560972    3.61840850    3.19108759    0.54489720   -1.00000000  -1.23940e+01
    5.00    0.24808897    0.24808886    0.08050645    3.62099329    3.19049449    0.54489720   -1.00000000  -1.23817e+01
    5.00    0.25992210    0.25992199    0.11615140    3.62473866    3.18924787    0.54489720   -1.00000000  -1.23497e+01
    5.00    0.27231461    0.27231449    0.15267244    3.62858940    3.18775487    0.54489720   -1.00000000  -1.23191e+01
    5.00    0.28336910    0.28336897    0.18537694    3.63205336    3.18641235    0.54489720   -1.00000000  -1.22969e+01
    5.00    0.29260177    0.29260163    0.21295743    3.63495937    3.18507698    0.54489720   -1.00000000  -1.22798e+01
    5.00    0.30429135    0.30429121    0.24701495    3.63852473    3.18310802    0.54489720   -1.00000000  -1.22578e+01
    5.00    0.31055133    0.31055117    0.26413826    3.64032098    3.18205926    0.54489720   -1.00000000  -1.22451e+01
    5.00    0.32269323    0.32269307    0.29708532    3.64379126    3.17962060    0.54489720   -1.00000000  -1.22188e+01
    5.00    0.32695816    0.32695800    0.30850920    3.64500442    3.17874900    0.54489720   -1.00000000  -1.22098e+01
    5.00    0.33252518    0.33252501    0.32302943    3.64657798    3.17786201    0.54489720   -1.00000000  -1.21989e+01
    5.00    0.34303928    0.34303910    0.35053321    3.64952509    3.17566396    0.54489720   -1.00000000  -1.21772e+01
    5.00    0.35758729    0.35758710    0.38756955    3.65349211    3.17254124    0.54489720   -1.00000000  -1.21477e+01
    5.00    0.37552900    0.37552879    0.43182693    3.65819457    3.16834837    0.54489720   -1.00000000  -1.21120e+01
    5.00    0.39458285    0.39458263    0.47698542    3.66293983    3.16366920    0.54489720   -1.00000000  -1.20752e+01
    5.00    0.40800072    0.40800048    0.50670959    3.66600895    3.16036299    0.54489720   -1.00000000  -1.20492e+01
    5.00    0.43019625    0.43019600    0.55460055    3.67091615    3.15480796    0.54489720   -1.00000000  -1.20085e+01
    5.00    0.45025314    0.45025287    0.59798978    3.67536633    3.14971135    0.54489720   -1.00000000  -1.19759e+01
    5.00    0.46740659    0.46740630    0.63042631    3.67850694    3.14553523    0.54489720   -1.00000000  -1.19464e+01
    5.00    0.48883792    0.48883760    0.67095178    3.68246632    3.14046014    0.54489720   -1.00000000  -1.19140e+01
    5.00    0.50133126    0.50133093    0.69417704    3.68473362    3.13762117    0.54489720   -1.00000000  -1.18966e+01
    5.00    0.52356948    0.52356913    0.73036502    3.68791441    3.13256634    0.54489720   -1.00000000  -1.18646e+01
    5.00    0.53451994    0.53451959    0.74813755    3.68949639    3.13018711    0.54489720   -1.00000000  -1.18505e+01
    5.00    0.55701280    0.55701242    0.78295373    3.69245744    3.12533042    0.54489720   -1.00000000  -1.18235e+01
    5.00    0.57512894    0.57512854    0.80795848    3.69428910    3.12134396    0.54489720   -1.00000000  -1.18025e+01
    5.00    0.59283473    0.59283431    0.83218287    3.69609234    3.11771405    0.54489720   -1.00000000  -1.17838e+01
    5.00    0.61930331    0.61930287    0.86509493    3.69828022    3.11238928    0.54489720   -1.00000000  -1.17569e+01
    5.00    0.64655093    0.64655045    0.89759959    3.70035931    3.10714466    0.54489720   -1.00000000  -1.17323e+01
    5.00    0.66768672    0.66768622    0.92033359    3.70177459    3.10385456    0.54489720   -1.00000000  -1.17135e+01
    5.00    0.68127464    0.68127413    0.93453184    3.70266949    3.10198235    0.54489720   -1.00000000  -1.17024e+01
    5.00    0.69872581    0.69872529    0.95359470    3.70383377    3.09880980    0.54489720   -1.00000000  -1.16891e+01
    5.00    0.73627658    0.73627601    0.98989064    3.70600858    3.09377255    0.54489720   -1.00000000  -1.16609e+01
    5.00    0.76857495    0.76857436    1.01910642    3.70777724    3.09026801    0.54489720   -1.00000000  -1.16391e+01
    5.00    0.79769194    0.79769131    1.04426538    3.70931468    3.08758106    0.54489720   -1.00000000  -1.16215e+01
    5.00    0.83655264    0.83655196    1.07363767    3.71104288    3.08511301    0.54489720   -1.00000000  -1.15978e+01
    5.00    0.87509393    0.87509322    1.10235346    3.71278099    3.08306448    0.54489720   -1.00000000  -1.15788e+01
    5.00    0.90608580    0.90608505    1.12466705    3.71418284    3.08200290    0.54489720   -1.00000000  -1.15661e+01
    5.00    0.94793328    0.94793249    1.15189536    3.71585377    3.08106597    0.54489720   -1.00000000  -1.15485e+01
    5.00    0.97228518    0.97228436    1.16654950    3.71678163    3.08114038    0.54489720   -1.00000000  -1.15392e+01
    5.00    1.00596058    1.00595972    1.18630901    3.71800034    3.08104700    0.54489720   -1.00000000  -1.15271e+01
    5.00    1.06202892    1.06202800    1.21679799    3.71991027    3.08176403    0.54489720   -1.00000000  -1.15089e+01
    5.00    1.11610852    1.11610754    1.24425222    3.72161525    3.08269573    0.54489720   -1.00000000  -1.14929e+01
    5.00    1.17099103    1.17098999    1.27050680    3.72323341    3.08375625    0.54489720   -1.00000000  -1.14777e+01
    5.00    1.24435482    1.24435370    1.30365014    3.72519455    3.08481010    0.54489720   -1.00000000  -1.14582e+01
    5.00    1.29919972    1.29919853    1.32734701    3.72657066    3.08540106    0.54489720   -1.00000000  -1.14445e+01
    5.00    1.40307353    1.40307222    1.36979505    3.72890924    3.08570815    0.54489720   -1.00000000  -1.14189e+01
    5.00    1.47878928    1.47878788    1.39892686    3.73045145    3.08557447    0.54489720   -1.00000000  -1.14012e+01
    5.00    1.58179558    1.58179406    1.43655235    3.73233715    3.08473528    0.54489720   -1.00000000  -1.13767e+01
    5.00    1.58724893    1.58724741    1.43862588    3.73240750    3.08443271    0.54489720   -1.00000000  -1.13735e+01
    5.00    1.59263629    1.59263476    1.44048689    3.73249237    3.08438272    0.54489720   -1.00000000  -1.13724e+01
    5.00    1.59793558    1.59793404    1.44214431    3.73259372    3.08457818    0.54489720   -1.00000000  -1.13733e+01
    5.00    1.70903219    1.70903052    1.47987211    3.73441166    3.08330892    0.54489720   -1.00000000  -1.13505e+01
    5.00    1.81380707    1.81380527    1.51353163    3.73594261    3.08159764    0.54489720   -1.00000000  -1.13289e+01
    5.00    1.91643672    1.91643480    1.54510735    3.73731002    3.07941094    0.54489720   -1.00000000  -1.13082e+01
    5.00    2.03260805    2.03260599    1.57951115    3.73874549    3.07631102    0.54489720   -1.00000000  -1.12850e+01
    5.00    2.16288147    2.16287925    1.61680522    3.74023914    3.07197323    0.54489720   -1.00000000  -1.12592e+01
    5.00    2.25248579    2.25248346    1.64181243    3.74118256    3.06836730    0.54489720   -1.00000000  -1.12413e+01
    5.00    2.35440531    2.35440285    1.66995286    3.74220518    3.06353740    0.54489720   -1.00000000  -1.12204e+01
    5.00    2.42975094    2.42974839    1.69057304    3.74293541    3.05951813    0.54489720   -1.00000000  -1.12048e+01
    5.00    2.61298269    2.61297990    1.74066911    3.74463388    3.04779151    0.54489720   -1.00000000  -1.11649e+01
    5.00    2.75473968    2.75473671    1.77991741    3.74589545    3.03653419    0.54489720   -1.00000000  -1.11318e+01
    5.00    2.94787058    2.94786736    1.83515205    3.74760212    3.01735931    0.54489720   -1.00000000  -1.10809e+01
    5.00    3.05697303    3.05696966    1.87125405    3.74875948    3.00168096    0.54489720   -1.00000000  -1.10442e+01
    5.00    3.14320546    3.14320199    1.90426882    3.74981366    2.98496785    0.54489720   -1.00000000  -1.10094e+01
    5.00    3.76633197    3.76632735    2.25974403    3.76063089    2.75140169    0.54489720   -1.00000000  -1.05835e+01
    5.00    3.87662576    3.87662080    2.33974534    3.76468085    2.70008774    0.54489720   -1.00000000  -1.04815e+01
    5.00    3.98287799    3.98287264    2.40779600    3.76978251    2.66427829    0.54489720   -1.00000000  -1.04034e+01
    5.00    4.10134604    4.10134021    2.47323840    3.77815832    2.64498342    0.54489720   -1.00000000  -1.03321e+01
    5.00    4.20665173    4.20664541    2.52832403    3.78888636    2.64393390    0.54489720   -1.00000000  -1.02839e+01
    5.00    4.27834862    4.27834195    2.56300835    3.80026615    2.66201133    0.54489720   -1.00000000  -1.02602e+01
    5.00    4.33560856    4.33560160    2.59062399    3.81090685    2.68274267    0.54489720   -1.00000000  -1.02459e+01
    5.00    4.39005950    4.39005226    2.61689018    3.82192100    2.70603352    0.54489720   -1.00000000  -1.02349e+01
    5.00    4.44405103    4.44404351    2.64147595    3.83270713    2.72975800    0.54489720   -1.00000000  -1.02228e+01
    5.00    4.49056157    4.49055381    2.66242241    3.84207376    2.75067195    0.54489720   -1.00000000  -1.02130e+01
    5.00    4.54311075    4.54310270    2.68618303    3.85281679    2.77484783    0.54489720   -1.00000000  -1.02028e+01
    5.00    4.59086588    4.59085757    2.70784805    3.86272314    2.79731968    0.54489720   -1.00000000  -1.01944e+01
    5.00    4.63966506    4.63965648    2.73007389    3.87297349    2.82070534    0.54489720   -1.00000000  -1.01865e+01
    5.00    4.68354681    4.68353798    2.75014034    3.88229038    2.84205201    0.54489720   -1.00000000  -1.01798e+01
    5.00    4.73339994    4.73339082    2.77298752    3.89299080    2.86671618    0.54489720   -1.00000000  -1.01730e+01
    5.00    4.77610202    4.77609265    2.79259722    3.90224233    2.88814671    0.54489720   -1.00000000  -1.01675e+01
    5.00    4.82988121    4.82987153    2.81640042    3.91358849    2.91463460    0.54489720   -1.00000000  -1.01599e+01
    5.00    4.87828484    4.87827487    2.83715957    3.92358119    2.93813692    0.54489720   -1.00000000  -1.01526e+01
    5.00    4.92727543    4.92726518    2.85815935    3.93376353    2.96220921    0.54489720   -1.00000000  -1.01458e+01
    5.00    4.98612616    4.98611555    2.88334712    3.94607972    2.99150293    0.54489720   -1.00000000  -1.01385e+01
    5.00    5.03815331    5.03814239    2.90482228    3.95668857    3.01694236    0.54489720   -1.00000000  -1.01316e+01
    5.00    5.09018448    5.09017324    2.92596878    3.96723075    3.04239588    0.54489720   -1.00000000  -1.01251e+01
    5.00    5.14229073    5.14227916    2.94706166    3.97784293    3.06818944    0.54489720   -1.00000000  -1.01192e+01
    5.00    5.19440581    5.19439392    2.96804893    3.98850567    3.09429157    0.54489720   -1.00000000  -1.01140e+01
    5.00    5.24836447    5.24835225    2.98874673    3.99916377    3.12066615    0.54489720   -1.00000000  -1.01082e+01
    5.00    5.30232014    5.30230757    3.00917902    4.00979694    3.14718830    0.54489720   -1.00000000  -1.01031e+01
    5.00    5.34809567    5.34808282    3.02638451    4.01883098    3.16987039    0.54489720   -1.00000000  -1.00992e+01
    5.00    5.39888846    5.39887528    3.04530556    4.02885758    3.19521828    0.54489720   -1.00000000  -1.00955e+01
    5.00    5.45539043    5.45537689    3.06532761    4.03962935    3.22274864    0.54489720   -1.00000000  -1.00910e+01
    5.00    5.51171415    5.51170026    3.08507045    4.05034218    3.25030505    0.54489720   -1.00000000  -1.00871e+01
    5.00    5.56777568    5.56776142    3.10452588    4.06098157    3.27783445    0.54489720   -1.00000000  -1.00839e+01
    5.00    5.62282468    5.62281007    3.12313466    4.07122881    3.30449864    0.54489720   -1.00000000  -1.00808e+01
    5.00    5.67662367    5.67660871    3.14070324    4.08097110    3.32999868    0.54489720   -1.00000000  -1.00777e+01
    5.00    5.73028542    5.73027012    3.15803082    4.09064978    3.35547481    0.54489720   -1.00000000  -1.00751e+01
    5.00    5.78462156    5.78460590    3.17538473    4.10041022    3.38130305    0.54489720   -1.00000000  -1.00731e+01
    5.00    5.85628775    5.85627164    3.19580735    4.11194893    3.41203792    0.54489720   -1.00000000  -1.00674e+01
    5.00    5.91897129    5.91895479    3.21295980    4.12167793    3.43806761    0.54489720   -1.00000000  -1.00623e+01
    5.00    5.98186242    5.98184552    3.22999847    4.13137293    3.46408920    0.54489720   -1.00000000  -1.00579e+01
    5.00    6.04501218    6.04499488    3.24693653    4.14104362    3.49013175    0.54489720   -1.00000000  -1.00541e+01
    5.00    6.12103904    6.12102125    3.26710408    4.15260167    3.52137065    0.54489720   -1.00000000  -1.00502e+01
    5.00    6.18457725    6.18455905    3.28379285    4.16219730    3.54738869    0.54489720   -1.00000000  -1.00476e+01
    5.00    6.24823290    6.24821430    3.30035442    4.17174816    3.57336283    0.54489720   -1.00000000  -1.00455e+01
    5.00    6.32481487    6.32479577    3.32007579    4.18315240    3.60447045    0.54489720   -1.00000000  -1.00436e+01
    5.00    6.38888650    6.38886699    3.33640853    4.19261825    3.63036170    0.54489720   -1.00000000  -1.00425e+01
    5.00    6.45319874    6.45317880    3.35265604    4.20204944    3.65621592    0.54489720   -1.00000000  -1.00418e+01
    5.00    6.53071730    6.53069685    3.37204843    4.21332062    3.68718404    0.54489720   -1.00000000  -1.00414e+01
    5.00    6.59563977    6.59561889    3.38814855    4.22268257    3.71295021    0.54489720   -1.00000000  -1.00415e+01
    5.00    6.66444220    6.66442087    3.40509665    4.23253965    3.74011299    0.54489720   -1.00000000  -1.00417e+01
    5.00    6.73960966    6.73958783    3.42341795    4.24318453    3.76948699    0.54489720   -1.00000000  -1.00427e+01
    5.00    6.80769280    6.80767052    3.43992561    4.25276785    3.79594621    0.54489720   -1.00000000  -1.00436e+01
    5.00    6.88535490    6.88533210    3.45858871    4.26358115    3.82582184    0.54489720   -1.00000000  -1.00452e+01
    5.00    6.95278024    6.95275698    3.47469149    4.27289548    3.85156522    0.54489720   -1.00000000  -1.00467e+01
    5.00    7.02391443    7.02389069    3.49087908    4.28222860    3.87738670    0.54489720   -1.00000000  -1.00475e+01
    5.00    7.11370048    7.11367615    3.50955630    4.29292869    3.90700225    0.54489720   -1.00000000  -1.00462e+01
    5.00    7.20620763    7.20618270    3.52864304    4.30380841    3.93708283    0.54489720   -1.00000000  -1.00452e+01
    5.00    7.29141048    7.29138498    3.54557740    4.31334660    3.96337046    0.54489720   -1.00000000  -1.00437e+01
    5.00    7.37862868    7.37860260    3.56278667    4.32301453    3.99002204    0.54489720   -1.00000000  -1.00426e+01
    5.00    7.48572749    7.48570070    3.58319222    4.33445968    4.02163299    0.54489720   -1.00000000  -1.00410e+01
    5.00    7.57898878    7.57896138    3.60062208    4.34422489    4.04866466    0.54489720   -1.00000000  -1.00399e+01
    5.00    7.68595379    7.68592567    3.61982930    4.35497489    4.07852241    0.54489720   -1.00000000  -1.00384e+01
    5.00    7.77497848    7.77494975    3.63550440    4.36373205    4.10289737    0.54489720   -1.00000000  -1.00375e+01
    5.00    7.90958575    7.90955608    3.65823543    4.37637041    4.13815580    0.54489720   -1.00000000  -1.00325e+01
