# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
    5.00    0.10000000    0.09999998   -0.64684247    3.54270299    3.21044625    0.54489720   -1.00000000  -1.29243e+01
    5.00    0.10028965    0.10028963   -0.64495156    3.54283872    3.21011836    0.54489720   -1.00000000  -1.29207e+01
    5.00    0.10375716    0.10375714   -0.62227952    3.54445440    3.20612099    0.54489720   -1.00000000  -1.28812e+01
    5.00    0.10719679    0.10719677   -0.59996724    3.54603793    3.20225661    0.54489720   -1.00000000  -1.28482e+01
    5.00    0.11229941    0.11229939   -0.56719654    3.54835015    3.19670533    0.54489720   -1.00000000  -1.28078e+01
    5.00    0.11566812    0.11566810   -0.54577701    3.54985148    3.19315512    0.54489720   -1.00000000  -1.27857e+01
    5.00    0.11998230    0.11998228   -0.51854780    3.55176380    3.18876899    0.54489720   -1.00000000  -1.27598e+01
    5.00    0.12318774    0.12318771   -0.49852593    3.55314840    3.18557449    0.54489720   -1.00000000  -1.27446e+01
    5.00    0.12795062    0.12795059   -0.46905275    3.55517049    3.18096371    0.54489720   -1.00000000  -1.27257e+01
    5.00    0.13110002    0.13109999   -0.44975161    3.55648288    3.17800379    0.54489720   -1.00000000  -1.27152e+01
    5.00    0.13580508    0.13580505   -0.42119367    3.55840590    3.17370830    0.54489720   -1.00000000  -1.27021e+01
    5.00    0.13892645    0.13892641   -0.40243356    3.55965667    3.17094418    0.54489720   -1.00000000  -1.26950e+01
    5.00    0.14357104    0.14357101   -0.37480353    3.56148023    3.16696584    0.54489720   -1.00000000  -1.26864e+01
    5.00    0.14674452    0.14674448   -0.35610366    3.56270483    3.16434079    0.54489720   -1.00000000  -1.26815e+01
    5.00    0.15195608    0.15195604   -0.32854590    3.56464884    3.16091212    0.54489720   -1.00000000  -1.26661e+01
    5.00    0.15680306    0.15680301   -0.30736803    3.56641486    3.15890982    0.54489720   -1.00000000  -1.26398e+01
    5.00    0.16400432    0.16400427   -0.27616717    3.56900671    3.15607067    0.54489720   -1.00000000  -1.26073e+01
    5.00    0.17116853    0.17116848   -0.24543084    3.57154653    3.15339539    0.54489720   -1.00000000  -1.25813e+01
    5.00    0.17592043    0.17592038   -0.22520394    3.57321050    3.15169831    0.54489720   -1.00000000  -1.25668e+01
    5.00    0.18300708    0.18300703   -0.19528189    3.57565830    3.14927538    0.54489720   -1.00000000  -1.25488e+01
    5.00    0.19002500    0.19002494   -0.16592143    3.57804580    3.14700111    0.54489720   -1.00000000  -1.25344e+01
    5.00    0.19467803    0.19467797   -0.14660739    3.57960787    3.14556223    0.54489720   -1.00000000  -1.25265e+01
    5.00    0.20193227    0.20193221   -0.11800645    3.58206348    3.14382726    0.54489720   -1.00000000  -1.25106e+01
    5.00    0.21004346    0.21004339   -0.09015286    3.58494440    3.14321844    0.54489720   -1.00000000  -1.24801e+01
    5.00    0.21719851    0.21719843   -0.06570270    3.58746422    3.14271549    0.54489720   -1.00000000  -1.24570e+01
