# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
    5.00    0.10000000    0.09999998   -0.57868985    3.57346607    3.26534594    0.54489720   -1.00000000  -1.28835e+01
    5.00    0.10027958    0.10027956   -0.57695297    3.57359102    3.26509353    0.54489720   -1.00000000  -1.28802e+01
    5.00    0.10345403    0.10345401   -0.55707828    3.57500652    3.26206066    0.54489720   -1.00000000  -1.28449e+01
    5.00    0.10791750    0.10791748   -0.52931517    3.57698258    3.25792138    0.54489720   -1.00000000  -1.28026e+01
    5.00    0.11131541    0.11131538   -0.50836870    3.57845540    3.25483300    0.54489720   -1.00000000  -1.27781e+01
    5.00    0.11549234    0.11549232   -0.48275014    3.58026526    3.25116429    0.54489720   -1.00000000  -1.27496e+01
    5.00    0.11999401    0.11999398   -0.45538178    3.58217978    3.24730812    0.54489720   -1.00000000  -1.27258e+01
    5.00    0.12298170    0.12298167   -0.43734625    3.58343480    3.24481480    0.54489720   -1.00000000  -1.27124e+01
    5.00    0.12744488    0.12744484   -0.41059287    3.58528623    3.24118564    0.54489720   -1.00000000  -1.26956e+01
    5.00    0.13095628    0.13095624   -0.38963545    3.58673699    3.23839779    0.54489720   -1.00000000  -1.26832e+01
    5.00    0.13525689    0.13525686   -0.36423317    3.58847623    3.23509850    0.54489720   -1.00000000  -1.26724e+01
    5.00    0.13811082    0.13811078   -0.34750156    3.58961744    3.23298275    0.54489720   -1.00000000  -1.26666e+01
    5.00    0.14235637    0.14235632   -0.32282008    3.59129572    3.22996645    0.54489720   -1.00000000  -1.26596e+01
    5.00    0.14655625    0.14655620   -0.29869207    3.59293289    3.22717838    0.54489720   -1.00000000  -1.26546e+01
    5.00    0.14931715    0.14931711   -0.28301102    3.59399740    3.22547878    0.54489720   -1.00000000  -1.26522e+01
    5.00    0.15564384    0.15564379   -0.25442492    3.59659379    3.22378579    0.54489720   -1.00000000  -1.26196e+01
    5.00    0.16237320    0.16237315   -0.22517410    3.59933853    3.22232907    0.54489720   -1.00000000  -1.25883e+01
    5.00    0.16827599    0.16827593   -0.19961990    3.60172737    3.22107999    0.54489720   -1.00000000  -1.25644e+01
    5.00    0.17355319    0.17355313   -0.17707394    3.60381455    3.22006929    0.54489720   -1.00000000  -1.25489e+01
    5.00    0.18025898    0.18025892   -0.14850811    3.60644826    3.21879454    0.54489720   -1.00000000  -1.25309e+01
    5.00    0.18696400    0.18696394   -0.12014592    3.60904464    3.21757223    0.54489720   -1.00000000  -1.25163e+01
    5.00    0.19143159    0.19143152   -0.10135834    3.61075603    3.21679366    0.54489720   -1.00000000  -1.25082e+01
    5.00    0.19810930    0.19810923   -0.07347341    3.61328336    3.21570415    0.54489720   -1.00000000  -1.24982e+01
    5.00    0.20734569    0.20734561   -0.04039846    3.61653580    3.21460082    0.54489720   -1.00000000  -1.24688e+01
    5.00    0.21760941    0.21760932   -0.00516211    3.62007931    3.21343165    0.54489720   -1.00000000  -1.24372e+01
    5.00    0.22450887    0.22450878    0.01852517    3.62245082    3.21260292    0.54489720   -1.00000000  -1.24193e+01
    5.00    0.23496395    0.23496385    0.05443873    3.62602674    3.21125709    0.54489720   -1.00000000  -1.23961e+01
    5.00    0.24516304    0.24516293    0.08946361    3.62948998    3.20985303    0.54489720   -1.00000000  -1.23775e+01
    5.00    0.25342142    0.25342131    0.11626509    3.63216974    3.20856386    0.54489720   -1.00000000  -1.23588e+01
    5.00    0.26740360    0.26740347    0.15775827    3.63642933    3.20625155    0.54489720   -1.00000000  -1.23209e+01
    5.00    0.27689862    0.27689849    0.18614973    3.63933335    3.20451271    0.54489720   -1.00000000  -1.22989e+01
    5.00    0.29137115    0.29137101    0.22977763    3.64378138    3.20159599    0.54489720   -1.00000000  -1.22699e+01
    5.00    0.30074742    0.30074727    0.25806837    3.64665075    3.19951195    0.54489720   -1.00000000  -1.22530e+01
    5.00    0.30988977    0.30988961    0.28363082    3.64923696    3.19731345    0.54489720   -1.00000000  -1.22330e+01
    5.00    0.32916951    0.32916934    0.33606085    3.65455904    3.19237106    0.54489720   -1.00000000  -1.21913e+01
    5.00    0.33470644    0.33470626    0.35097009    3.65603785    3.19058883    0.54489720   -1.00000000  -1.21785e+01
    5.00    0.33911296    0.33911278    0.36235974    3.65721514    3.18962137    0.54489720   -1.00000000  -1.21700e+01
    5.00    0.34781470    0.34781451    0.38485337    3.65946729    3.18712441    0.54489720   -1.00000000  -1.21518e+01
    5.00    0.36777014    0.36776994    0.43457634    3.66445650    3.18158971    0.54489720   -1.00000000  -1.21114e+01
    5.00    0.38388531    0.38388509    0.47319251    3.66830495    3.17698557    0.54489720   -1.00000000  -1.20797e+01
    5.00    0.39911664    0.39911640    0.50844142    3.67181484    3.17269830    0.54489720   -1.00000000  -1.20510e+01
    5.00    0.41311227    0.41311202    0.53836809    3.67475430    3.16891525    0.54489720   -1.00000000  -1.20236e+01
    5.00    0.43737110    0.43737083    0.59015691    3.67984838    3.16232076    0.54489720   -1.00000000  -1.19809e+01
    5.00    0.45660124    0.45660095    0.62939964    3.68369041    3.15740727    0.54489720   -1.00000000  -1.19498e+01
    5.00    0.47438415    0.47438384    0.66265852    3.68684097    3.15302467    0.54489720   -1.00000000  -1.19207e+01
    5.00    0.49447733    0.49447700    0.69995783    3.69044251    3.14851976    0.54489720   -1.00000000  -1.18922e+01
    5.00    0.50901042    0.50901008    0.72469261    3.69267904    3.14524450    0.54489720   -1.00000000  -1.18714e+01
    5.00    0.52423928    0.52423892    0.74883242    3.69479457    3.14217407    0.54489720   -1.00000000  -1.18507e+01
    5.00    0.54108729    0.54108692    0.77581840    3.69716556    3.13861974    0.54489720   -1.00000000  -1.18302e+01
    5.00    0.55382139    0.55382100    0.79523986    3.69879646    3.13598838    0.54489720   -1.00000000  -1.18155e+01
    5.00    0.57708379    0.57708338    0.82649644    3.70105122    3.13133188    0.54489720   -1.00000000  -1.17892e+01
    5.00    0.60171155    0.60171112    0.85926384    3.70342583    3.12657226    0.54489720   -1.00000000  -1.17649e+01
    5.00    0.62038742    0.62038696    0.88058303    3.70472812    3.12344648    0.54489720   -1.00000000  -1.17467e+01
    5.00    0.63973810    0.63973763    0.90306453    3.70610203    3.11991404    0.54489720   -1.00000000  -1.17298e+01
    5.00    0.66058723    0.66058673    0.92597337    3.70748150    3.11647251    0.54489720   -1.00000000  -1.17123e+01
    5.00    0.68279065    0.68279013    0.94888276    3.70884382    3.11330458    0.54489720   -1.00000000  -1.16947e+01
    5.00    0.70707695    0.70707640    0.97277604    3.71024804    3.11008398    0.54489720   -1.00000000  -1.16764e+01
    5.00    0.74691089    0.74691030    1.00640760    3.71214533    3.10643379    0.54489720   -1.00000000  -1.16458e+01
    5.00    0.77871292    0.77871230    1.03284422    3.71369386    3.10406844    0.54489720   -1.00000000  -1.16256e+01
    5.00    0.81441262    0.81441196    1.06279301    3.71548301    3.10134445    0.54489720   -1.00000000  -1.16074e+01
    5.00    0.84867214    0.84867145    1.09105009    3.71725335    3.09942737    0.54489720   -1.00000000  -1.15941e+01
    5.00    0.90149937    0.90149862    1.12705793    3.71942713    3.09837780    0.54489720   -1.00000000  -1.15709e+01
    5.00    0.92228097    0.92228020    1.13909725    3.72017700    3.09894519    0.54489720   -1.00000000  -1.15614e+01
    5.00    0.95170540    0.95170459    1.15716669    3.72124647    3.09875639    0.54489720   -1.00000000  -1.15500e+01
    5.00    0.97445006    0.97444922    1.17126938    3.72209476    3.09856157    0.54489720   -1.00000000  -1.15432e+01
    5.00    1.01945023    1.01944934    1.19667986    3.72364753    3.09906319    0.54489720   -1.00000000  -1.15289e+01
    5.00    1.05665742    1.05665649    1.21628912    3.72483923    3.09978263    0.54489720   -1.00000000  -1.15175e+01
    5.00    1.12003205    1.12003105    1.24797482    3.72671458    3.10090538    0.54489720   -1.00000000  -1.14992e+01
    5.00    1.20441455    1.20441346    1.28754089    3.72899313    3.10197602    0.54489720   -1.00000000  -1.14760e+01
    5.00    1.27222707    1.27222590    1.31753040    3.73063375    3.10234797    0.54489720   -1.00000000  -1.14580e+01
    5.00    1.34476215    1.34476089    1.34807807    3.73224366    3.10232488    0.54489720   -1.00000000  -1.14396e+01
    5.00    1.42293829    1.42293694    1.37932376    3.73382184    3.10193585    0.54489720   -1.00000000  -1.14205e+01
    5.00    1.47422353    1.47422212    1.39898124    3.73479021    3.10152619    0.54489720   -1.00000000  -1.14083e+01
    5.00    1.56189447    1.56189296    1.43134938    3.73632361    3.10038522    0.54489720   -1.00000000  -1.13874e+01
    5.00    1.56956752    1.56956600    1.43420463    3.73644429    3.10013522    0.54489720   -1.00000000  -1.13845e+01
    5.00    1.57715205    1.57715052    1.43684031    3.73657821    3.10013328    0.54489720   -1.00000000  -1.13837e+01
    5.00    1.62415294    1.62415135    1.45322579    3.73732998    3.09950714    0.54489720   -1.00000000  -1.13741e+01
    5.00    1.70320634    1.70320466    1.47957407    3.73847144    3.09800293    0.54489720   -1.00000000  -1.13559e+01
    5.00    1.80581700    1.80581520    1.51321736    3.73991266    3.09575366    0.54489720   -1.00000000  -1.13348e+01
    5.00    1.90899251    1.90899058    1.54549413    3.74124026    3.09300908    0.54489720   -1.00000000  -1.13137e+01
    5.00    2.03512414    2.03512205    1.58362274    3.74271883    3.08863106    0.54489720   -1.00000000  -1.12875e+01
    5.00    2.18142707    2.18142481    1.62638378    3.74430678    3.08237430    0.54489720   -1.00000000  -1.12569e+01
    5.00    2.26573672    2.26573436    1.65061721    3.74515262    3.07799074    0.54489720   -1.00000000  -1.12386e+01
    5.00    2.42702400    2.42702143    1.69662245    3.74670394    3.06805035    0.54489720   -1.00000000  -1.12026e+01
    5.00    2.44843681    2.44843421    1.70274718    3.74690315    3.06653380    0.54489720   -1.00000000  -1.11976e+01
    5.00    2.61324138    2.61323857    1.75021482    3.74839407    3.05332958    0.54489720   -1.00000000  -1.11583e+01
    5.00    2.75285561    2.75285261    1.79138150    3.74965474    3.03980971    0.54489720   -1.00000000  -1.11222e+01
    5.00    2.98134972    2.98134642    1.86357893    3.75175464    3.01055821    0.54489720   -1.00000000  -1.10534e+01
    5.00    3.08162927    3.08162584    1.90544397    3.75309576    2.98829155    0.54489720   -1.00000000  -1.10045e+01
    5.00    3.15209095    3.15208744    1.94030622    3.75416406    2.96757728    0.54489720   -1.00000000  -1.09664e+01
    5.00    3.26221455    3.26221087    1.99777825    3.75577503    2.93145347    0.54489720   -1.00000000  -1.09003e+01
    5.00    3.81953321    3.81952811    2.38285303    3.77149367    2.67787224    0.54489720   -1.00000000  -1.04260e+01
    5.00    3.95253127    3.95252563    2.45885355    3.78074071    2.65367342    0.54489720   -1.00000000  -1.03433e+01
    5.00    4.04999313    4.04998704    2.51033196    3.79137736    2.65532534    0.54489720   -1.00000000  -1.02980e+01
