# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
    5.00    0.10000000    0.09999998   -0.67750688    3.52978911    3.18945515    0.54489720   -1.00000000  -1.29445e+01
    5.00    0.10378155    0.10378154   -0.65232825    3.53156496    3.18469790    0.54489720   -1.00000000  -1.29019e+01
    5.00    0.10760512    0.10760510   -0.62707997    3.53334132    3.18002099    0.54489720   -1.00000000  -1.28657e+01
    5.00    0.11139098    0.11139096   -0.60229645    3.53507944    3.17552307    0.54489720   -1.00000000  -1.28353e+01
    5.00    0.11635854    0.11635852   -0.57005319    3.53734551    3.16983899    0.54489720   -1.00000000  -1.28001e+01
    5.00    0.11991722    0.11991719   -0.54721100    3.53893358    3.16588211    0.54489720   -1.00000000  -1.27800e+01
    5.00    0.12344446    0.12344444   -0.52475904    3.54048640    3.16206376    0.54489720   -1.00000000  -1.27626e+01
    5.00    0.12867281    0.12867278   -0.49182282    3.54274829    3.15658842    0.54489720   -1.00000000  -1.27410e+01
    5.00    0.13213007    0.13213004   -0.47026795    3.54421724    3.15308521    0.54489720   -1.00000000  -1.27291e+01
    5.00    0.13602082    0.13602079   -0.44617370    3.54586099    3.14926848    0.54489720   -1.00000000  -1.27165e+01
    5.00    0.13931433    0.13931429   -0.42600379    3.54721346    3.14610764    0.54489720   -1.00000000  -1.27084e+01
    5.00    0.14419925    0.14419921   -0.39639731    3.54917993    3.14157085    0.54489720   -1.00000000  -1.26986e+01
    5.00    0.14742511    0.14742508   -0.37705214    3.55045234    3.13867628    0.54489720   -1.00000000  -1.26934e+01
    5.00    0.15332096    0.15332092   -0.34680486    3.55274758    3.13497657    0.54489720   -1.00000000  -1.26694e+01
    5.00    0.15806006    0.15806002   -0.32565274    3.55457634    3.13298143    0.54489720   -1.00000000  -1.26437e+01
    5.00    0.16510882    0.16510878   -0.29449542    3.55725799    3.13016399    0.54489720   -1.00000000  -1.26119e+01
    5.00    0.16977400    0.16977395   -0.27407019    3.55900714    3.12839258    0.54489720   -1.00000000  -1.25945e+01
    5.00    0.17672778    0.17672773   -0.24390082    3.56157758    3.12588088    0.54489720   -1.00000000  -1.25727e+01
    5.00    0.18133610    0.18133605   -0.22409281    3.56325512    3.12429820    0.54489720   -1.00000000  -1.25606e+01
    5.00    0.18820896    0.18820890   -0.19482319    3.56571751    3.12205185    0.54489720   -1.00000000  -1.25456e+01
    5.00    0.19501765    0.19501759   -0.16614236    3.56811155    3.11996057    0.54489720   -1.00000000  -1.25338e+01
    5.00    0.19954832    0.19954826   -0.14723356    3.56967904    3.11864283    0.54489720   -1.00000000  -1.25274e+01
    5.00    0.20820778    0.20820771   -0.11731835    3.57257965    3.11736705    0.54489720   -1.00000000  -1.24952e+01
    5.00    0.21490765    0.21490758   -0.09465073    3.57479241    3.11653614    0.54489720   -1.00000000  -1.24747e+01
    5.00    0.22275523    0.22275516   -0.06817490    3.57737530    3.11560205    0.54489720   -1.00000000  -1.24527e+01
    5.00    0.23142884    0.23142876   -0.03919588    3.58019043    3.11469473    0.54489720   -1.00000000  -1.24338e+01
    5.00    0.23945794    0.23945785   -0.01264705    3.58275657    3.11397247    0.54489720   -1.00000000  -1.24203e+01
    5.00    0.24859707    0.24859698    0.01740516    3.58564844    3.11320118    0.54489720   -1.00000000  -1.24069e+01
    5.00    0.25581539    0.25581529    0.03853293    3.58786447    3.11286612    0.54489720   -1.00000000  -1.23878e+01
