# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
    5.00    0.10000000    0.09999998   -0.62160142    3.55401606    3.23045747    0.54489720   -1.00000000  -1.29090e+01
    5.00    0.10130129    0.10130127   -0.61332440    3.55457823    3.22901204    0.54489720   -1.00000000  -1.28942e+01
    5.00    0.10491747    0.10491745   -0.59034348    3.55613067    3.22497644    0.54489720   -1.00000000  -1.28574e+01
    5.00    0.10992480    0.10992478   -0.55877630    3.55826318    3.21957425    0.54489720   -1.00000000  -1.28138e+01
    5.00    0.11335438    0.11335435   -0.53734576    3.55970231    3.21597860    0.54489720   -1.00000000  -1.27896e+01
    5.00    0.11844717    0.11844715   -0.50579113    3.56181218    3.21079937    0.54489720   -1.00000000  -1.27596e+01
    5.00    0.12181508    0.12181505   -0.48509974    3.56318907    3.20747672    0.54489720   -1.00000000  -1.27430e+01
    5.00    0.12683915    0.12683912   -0.45448282    3.56521723    3.20266633    0.54489720   -1.00000000  -1.27221e+01
    5.00    0.13078885    0.13078881   -0.43057333    3.56680285    3.19900949    0.54489720   -1.00000000  -1.27071e+01
    5.00    0.13511406    0.13511402   -0.40471599    3.56848787    3.19512483    0.54489720   -1.00000000  -1.26960e+01
    5.00    0.13875224    0.13875221   -0.38305156    3.56990738    3.19195151    0.54489720   -1.00000000  -1.26864e+01
    5.00    0.14327161    0.14327157   -0.35648527    3.57162349    3.18816609    0.54489720   -1.00000000  -1.26784e+01
    5.00    0.14660901    0.14660897   -0.33697907    3.57288432    3.18545696    0.54489720   -1.00000000  -1.26728e+01
    5.00    0.15198004    0.15197999   -0.30867694    3.57492304    3.18219982    0.54489720   -1.00000000  -1.26570e+01
    5.00    0.15880190    0.15880186   -0.27890083    3.57759114    3.18014240    0.54489720   -1.00000000  -1.26208e+01
    5.00    0.16403005    0.16403000   -0.25635584    3.57959092    3.17866050    0.54489720   -1.00000000  -1.25993e+01
    5.00    0.17119565    0.17119560   -0.22568051    3.58229876    3.17672175    0.54489720   -1.00000000  -1.25738e+01
    5.00    0.17703593    0.17703588   -0.20082681    3.58448337    3.17520003    0.54489720   -1.00000000  -1.25555e+01
    5.00    0.18306171    0.18306165   -0.17555348    3.58667286    3.17374175    0.54489720   -1.00000000  -1.25419e+01
    5.00    0.19016592    0.19016586   -0.14591599    3.58922821    3.17207745    0.54489720   -1.00000000  -1.25276e+01
    5.00    0.19513000    0.19512994   -0.12532537    3.59099323    3.17095104    0.54489720   -1.00000000  -1.25190e+01
    5.00    0.20232233    0.20232226   -0.09718999    3.59357439    3.16981046    0.54489720   -1.00000000  -1.25025e+01
    5.00    0.21060830    0.21060822   -0.06829907    3.59669622    3.16946670    0.54489720   -1.00000000  -1.24715e+01
    5.00    0.21886134    0.21886126   -0.03966999    3.59978647    3.16919467    0.54489720   -1.00000000  -1.24465e+01
    5.00    0.22574633    0.22574624   -0.01600411    3.60233812    3.16907986    0.54489720   -1.00000000  -1.24305e+01
    5.00    0.23259684    0.23259675    0.00764041    3.60487552    3.16886261    0.54489720   -1.00000000  -1.24149e+01
    5.00    0.24082173    0.24082164    0.03574489    3.60788409    3.16873388    0.54489720   -1.00000000  -1.24007e+01
    5.00    0.24895003    0.24894993    0.06329503    3.61082227    3.16869074    0.54489720   -1.00000000  -1.23896e+01
    5.00    0.26013307    0.26013296    0.09629595    3.61437934    3.16800015    0.54489720   -1.00000000  -1.23584e+01
    5.00    0.26928203    0.26928191    0.12291465    3.61727390    3.16744819    0.54489720   -1.00000000  -1.23365e+01
    5.00    0.28185501    0.28185488    0.15973099    3.62127156    3.16653337    0.54489720   -1.00000000  -1.23102e+01
    5.00    0.29030988    0.29030975    0.18463821    3.62398072    3.16585211    0.54489720   -1.00000000  -1.22951e+01
    5.00    0.30667565    0.30667551    0.23136198    3.62904358    3.16423171    0.54489720   -1.00000000  -1.22659e+01
    5.00    0.31841206    0.31841190    0.26279342    3.63245513    3.16277927    0.54489720   -1.00000000  -1.22420e+01
    5.00    0.32393724    0.32393708    0.27777143    3.63405354    3.16164611    0.54489720   -1.00000000  -1.22293e+01
    5.00    0.32705477    0.32705461    0.28595665    3.63495002    3.16121310    0.54489720   -1.00000000  -1.22232e+01
    5.00    0.33428317    0.33428300    0.30423173    3.63701400    3.16068304    0.54489720   -1.00000000  -1.22100e+01
    5.00    0.34550841    0.34550824    0.33290506    3.64020943    3.15913788    0.54489720   -1.00000000  -1.21879e+01
    5.00    0.35894667    0.35894648    0.36666008    3.64396640    3.15701100    0.54489720   -1.00000000  -1.21615e+01
    5.00    0.37394293    0.37394273    0.40346245    3.64808762    3.15444809    0.54489720   -1.00000000  -1.21323e+01
    5.00    0.40399285    0.40399262    0.47378362    3.65585161    3.14855936    0.54489720   -1.00000000  -1.20746e+01
    5.00    0.41512716    0.41512693    0.49785641    3.65844011    3.14623156    0.54489720   -1.00000000  -1.20530e+01
    5.00    0.43294970    0.43294945    0.53673093    3.66261008    3.14227026    0.54489720   -1.00000000  -1.20211e+01
    5.00    0.45255508    0.45255481    0.57895643    3.66712143    3.13787173    0.54489720   -1.00000000  -1.19895e+01
    5.00    0.47013231    0.47013202    0.61267186    3.67051356    3.13381061    0.54489720   -1.00000000  -1.19595e+01
    5.00    0.48377035    0.48377005    0.63891879    3.67316242    3.13063999    0.54489720   -1.00000000  -1.19381e+01
    5.00    0.50514618    0.50514586    0.67861473    3.67709947    3.12580510    0.54489720   -1.00000000  -1.19073e+01
    5.00    0.52197719    0.52197685    0.70649057    3.67960864    3.12189954    0.54489720   -1.00000000  -1.18832e+01
    5.00    0.54083194    0.54083159    0.73762609    3.68243594    3.11768219    0.54489720   -1.00000000  -1.18584e+01
    5.00    0.56438669    0.56438631    0.77303459    3.68534606    3.11237700    0.54489720   -1.00000000  -1.18292e+01
    5.00    0.57709224    0.57709185    0.79091727    3.68670083    3.10951591    0.54489720   -1.00000000  -1.18143e+01
    5.00    0.60118856    0.60118815    0.82464199    3.68926468    3.10418594    0.54489720   -1.00000000  -1.17888e+01
    5.00    0.61697937    0.61697894    0.84401493    3.69051675    3.10079970    0.54489720   -1.00000000  -1.17719e+01
    5.00    0.64797169    0.64797123    0.88192653    3.69300640    3.09439387    0.54489720   -1.00000000  -1.17424e+01
    5.00    0.66329502    0.66329454    0.89906907    3.69409579    3.09157698    0.54489720   -1.00000000  -1.17280e+01
    5.00    0.68312775    0.68312725    0.92075608    3.69548832    3.08822626    0.54489720   -1.00000000  -1.17105e+01
    5.00    0.70847441    0.70847389    0.94755478    3.69717548    3.08395123    0.54489720   -1.00000000  -1.16894e+01
    5.00    0.73860271    0.73860216    0.97613224    3.69890055    3.07974604    0.54489720   -1.00000000  -1.16647e+01
    5.00    0.76826042    0.76825983    1.00424968    3.70063447    3.07576337    0.54489720   -1.00000000  -1.16436e+01
    5.00    0.79770473    0.79770411    1.03208946    3.70240527    3.07208213    0.54489720   -1.00000000  -1.16257e+01
    5.00    0.83254310    0.83254245    1.06086824    3.70414033    3.06871113    0.54489720   -1.00000000  -1.16042e+01
    5.00    0.86292737    0.86292668    1.08457780    3.70558141    3.06637640    0.54489720   -1.00000000  -1.15871e+01
    5.00    0.90206234    0.90206161    1.11371791    3.70738827    3.06385351    0.54489720   -1.00000000  -1.15672e+01
    5.00    0.93934377    0.93934300    1.13899123    3.70893447    3.06226450    0.54489720   -1.00000000  -1.15494e+01
    5.00    0.98261819    0.98261737    1.16660526    3.71066516    3.06122158    0.54489720   -1.00000000  -1.15314e+01
    5.00    0.99502829    0.99502746    1.17391895    3.71113420    3.06122831    0.54489720   -1.00000000  -1.15266e+01
    5.00    1.04056178    1.04056089    1.20088083    3.71280872    3.06041132    0.54489720   -1.00000000  -1.15096e+01
    5.00    1.10400528    1.10400433    1.23490227    3.71496592    3.06069892    0.54489720   -1.00000000  -1.14887e+01
    5.00    1.18672707    1.18672602    1.27524208    3.71754973    3.06208550    0.54489720   -1.00000000  -1.14650e+01
    5.00    1.23879576    1.23879465    1.29891108    3.71904212    3.06304538    0.54489720   -1.00000000  -1.14512e+01
    5.00    1.31509356    1.31509237    1.33165271    3.72104357    3.06426040    0.54489720   -1.00000000  -1.14321e+01
    5.00    1.39055526    1.39055398    1.36232935    3.72285848    3.06507314    0.54489720   -1.00000000  -1.14140e+01
    5.00    1.48788683    1.48788544    1.39976149    3.72498415    3.06552718    0.54489720   -1.00000000  -1.13915e+01
    5.00    1.58142773    1.58142623    1.43367259    3.72681815    3.06543860    0.54489720   -1.00000000  -1.13710e+01
    5.00    1.60667105    1.60666952    1.44268345    3.72726987    3.06510705    0.54489720   -1.00000000  -1.13635e+01
    5.00    1.61333492    1.61333338    1.44502318    3.72739389    3.06506099    0.54489720   -1.00000000  -1.13621e+01
    5.00    1.61990687    1.61990532    1.44714408    3.72753089    3.06526085    0.54489720   -1.00000000  -1.13626e+01
    5.00    1.71378791    1.71378626    1.47867217    3.72913627    3.06461514    0.54489720   -1.00000000  -1.13430e+01
    5.00    1.81541702    1.81541524    1.51110697    3.73072011    3.06348376    0.54489720   -1.00000000  -1.13223e+01
    5.00    1.92588413    1.92588222    1.54473389    3.73229217    3.06183808    0.54489720   -1.00000000  -1.13008e+01
    5.00    2.00849299    2.00849098    1.56894362    3.73338770    3.06026371    0.54489720   -1.00000000  -1.12849e+01
    5.00    2.15985402    2.15985183    1.61150240    3.73523390    3.05664896    0.54489720   -1.00000000  -1.12566e+01
    5.00    2.29918404    2.29918168    1.64921501    3.73676849    3.05222349    0.54489720   -1.00000000  -1.12303e+01
    5.00    2.38666665    2.38666418    1.67244912    3.73767173    3.04881262    0.54489720   -1.00000000  -1.12135e+01
    5.00    2.47360439    2.47360180    1.69526451    3.73853196    3.04498195    0.54489720   -1.00000000  -1.11967e+01
    5.00    2.68525015    2.68524730    1.75047625    3.74052500    3.03339760    0.54489720   -1.00000000  -1.11537e+01
    5.00    2.73021624    2.73021334    1.76219339    3.74092250    3.03048220    0.54489720   -1.00000000  -1.11443e+01
    5.00    2.88617589    2.88617278    1.80324281    3.74228388    3.01875273    0.54489720   -1.00000000  -1.11083e+01
    5.00    3.59864195    3.59863787    2.06163464    3.75057121    2.88957556    0.54489720   -1.00000000  -1.08412e+01
    5.00    3.71839086    3.71838654    2.12892558    3.75249076    2.84403112    0.54489720   -1.00000000  -1.07559e+01
