# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
    5.00    0.10000000    0.09999998   -0.54276243    3.59136648    3.30102016    0.54489720   -1.00000000  -1.28652e+01
    5.00    0.10281982    0.10281980   -0.52535975    3.59263163    3.29860899    0.54489720   -1.00000000  -1.28346e+01
    5.00    0.10768152    0.10768150   -0.49535901    3.59480863    3.29443830    0.54489720   -1.00000000  -1.27902e+01
    5.00    0.11091349    0.11091346   -0.47552167    3.59625143    3.29175460    0.54489720   -1.00000000  -1.27657e+01
    5.00    0.11572507    0.11572504   -0.44614471    3.59839266    3.28788812    0.54489720   -1.00000000  -1.27351e+01
    5.00    0.12049452    0.12049449   -0.41720092    3.60050750    3.28420084    0.54489720   -1.00000000  -1.27104e+01
    5.00    0.12446285    0.12446282   -0.39318583    3.60226611    3.28119594    0.54489720   -1.00000000  -1.26916e+01
    5.00    0.12836843    0.12836839   -0.36980146    3.60398377    3.27843695    0.54489720   -1.00000000  -1.26791e+01
    5.00    0.13304912    0.13304908   -0.34186958    3.60603934    3.27521193    0.54489720   -1.00000000  -1.26651e+01
    5.00    0.13769121    0.13769117   -0.31436682    3.60807001    3.27218050    0.54489720   -1.00000000  -1.26539e+01
    5.00    0.14076113    0.14076109   -0.29630453    3.60940823    3.27028280    0.54489720   -1.00000000  -1.26479e+01
    5.00    0.14530471    0.14530466   -0.26979388    3.61138059    3.26766329    0.54489720   -1.00000000  -1.26408e+01
    5.00    0.14977963    0.14977958   -0.24401578    3.61331270    3.26537350    0.54489720   -1.00000000  -1.26357e+01
    5.00    0.15597271    0.15597266   -0.21689318    3.61567145    3.26338646    0.54489720   -1.00000000  -1.26007e+01
    5.00    0.16177041    0.16177035   -0.19178580    3.61786485    3.26153983    0.54489720   -1.00000000  -1.25718e+01
    5.00    0.16645155    0.16645149   -0.17166946    3.61962436    3.26015862    0.54489720   -1.00000000  -1.25541e+01
    5.00    0.17274086    0.17274080   -0.14461849    3.62198381    3.25826103    0.54489720   -1.00000000  -1.25326e+01
    5.00    0.17902201    0.17902194   -0.11767907    3.62433204    3.25640969    0.54489720   -1.00000000  -1.25150e+01
    5.00    0.18460668    0.18460661   -0.09398709    3.62640479    3.25496355    0.54489720   -1.00000000  -1.25031e+01
    5.00    0.19112147    0.19112140   -0.06630435    3.62882101    3.25322467    0.54489720   -1.00000000  -1.24904e+01
    5.00    0.19543984    0.19543976   -0.04808259    3.63041420    3.25216633    0.54489720   -1.00000000  -1.24834e+01
    5.00    0.20337622    0.20337614   -0.01756049    3.63310834    3.25035938    0.54489720   -1.00000000  -1.24648e+01
    5.00    0.21516844    0.21516835    0.02252323    3.63666708    3.24736630    0.54489720   -1.00000000  -1.24268e+01
    5.00    0.22506829    0.22506819    0.05624147    3.63965329    3.24478077    0.54489720   -1.00000000  -1.24011e+01
