# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
    5.00    0.10000000    0.09999998   -0.70825085    3.51741751    3.17071272    0.54489720   -1.00000000  -1.29658e+01
    5.00    0.10218710    0.10218708   -0.69370843    3.51834987    3.16760235    0.54489720   -1.00000000  -1.29408e+01
    5.00    0.10634635    0.10634633   -0.66616380    3.52010772    3.16173726    0.54489720   -1.00000000  -1.28992e+01
    5.00    0.11044297    0.11044295   -0.63926619    3.52181970    3.15611517    0.54489720   -1.00000000  -1.28647e+01
    5.00    0.11448473    0.11448471   -0.61295051    3.52348910    3.15071146    0.54489720   -1.00000000  -1.28357e+01
    5.00    0.11965683    0.11965681   -0.57956431    3.52561200    3.14403208    0.54489720   -1.00000000  -1.28028e+01
    5.00    0.12343534    0.12343532   -0.55542429    3.52713112    3.13927578    0.54489720   -1.00000000  -1.27836e+01
    5.00    0.12718134    0.12718131   -0.53167967    3.52861837    3.13467291    0.54489720   -1.00000000  -1.27671e+01
    5.00    0.13209677    0.13209674   -0.50085013    3.53052570    3.12878395    0.54489720   -1.00000000  -1.27500e+01
    5.00    0.13639659    0.13639656   -0.47407179    3.53219513    3.12382655    0.54489720   -1.00000000  -1.27352e+01
    5.00    0.14002354    0.14002351   -0.45170765    3.53357044    3.11973715    0.54489720   -1.00000000  -1.27255e+01
    5.00    0.14382843    0.14382840   -0.42841662    3.53500083    3.11556782    0.54489720   -1.00000000  -1.27164e+01
    5.00    0.14893692    0.14893689   -0.39749170    3.53687278    3.11012191    0.54489720   -1.00000000  -1.27073e+01
    5.00    0.15357211    0.15357207   -0.37482923    3.53863958    3.10719652    0.54489720   -1.00000000  -1.26836e+01
    5.00    0.15910780    0.15910776   -0.34984005    3.54075108    3.10448577    0.54489720   -1.00000000  -1.26549e+01
    5.00    0.16616496    0.16616492   -0.31821518    3.54342537    3.10119233    0.54489720   -1.00000000  -1.26227e+01
    5.00    0.17113511    0.17113507   -0.29618283    3.54527856    3.09899199    0.54489720   -1.00000000  -1.26043e+01
    5.00    0.17852027    0.17852023   -0.26374847    3.54799544    3.09587902    0.54489720   -1.00000000  -1.25814e+01
    5.00    0.18340708    0.18340703   -0.24249362    3.54976785    3.09392485    0.54489720   -1.00000000  -1.25688e+01
    5.00    0.19068267    0.19068262   -0.21113207    3.55237066    3.09115458    0.54489720   -1.00000000  -1.25531e+01
    5.00    0.19571048    0.19571042   -0.18963859    3.55414885    3.08933722    0.54489720   -1.00000000  -1.25439e+01
    5.00    0.20330565    0.20330558   -0.15990713    3.55682166    3.08742257    0.54489720   -1.00000000  -1.25237e+01
    5.00    0.21203784    0.21203778   -0.12960576    3.55990987    3.08639878    0.54489720   -1.00000000  -1.24922e+01
    5.00    0.21780173    0.21780166   -0.10978549    3.56192380    3.08580578    0.54489720   -1.00000000  -1.24750e+01
    5.00    0.22643104    0.22643096   -0.08041238    3.56489218    3.08503152    0.54489720   -1.00000000  -1.24534e+01
    5.00    0.23410636    0.23410629   -0.05462985    3.56747747    3.08446646    0.54489720   -1.00000000  -1.24386e+01
    5.00    0.24072128    0.24072120   -0.03249408    3.56969267    3.08401251    0.54489720   -1.00000000  -1.24267e+01
    5.00    0.24924627    0.24924618   -0.00433480    3.57248488    3.08354523    0.54489720   -1.00000000  -1.24151e+01
    5.00    0.26151742    0.26151732    0.03079346    3.57618179    3.08290472    0.54489720   -1.00000000  -1.23824e+01
    5.00    0.27223326    0.27223315    0.06110676    3.57939688    3.08242166    0.54489720   -1.00000000  -1.23571e+01
    5.00    0.28234296    0.28234286    0.08951958    3.58242714    3.08213985    0.54489720   -1.00000000  -1.23387e+01
    5.00    0.29470454    0.29470442    0.12419735    3.58612873    3.08184454    0.54489720   -1.00000000  -1.23192e+01
    5.00    0.30476523    0.30476511    0.15122110    3.58902520    3.08157861    0.54489720   -1.00000000  -1.23025e+01
    5.00    0.31110962    0.31110950    0.16744837    3.59077283    3.08132636    0.54489720   -1.00000000  -1.22903e+01
    5.00    0.31342792    0.31342779    0.17332615    3.59140487    3.08117328    0.54489720   -1.00000000  -1.22850e+01
    5.00    0.31669595    0.31669582    0.18152225    3.59230597    3.08108765    0.54489720   -1.00000000  -1.22792e+01
    5.00    0.31896607    0.31896594    0.18709574    3.59293888    3.08117589    0.54489720   -1.00000000  -1.22762e+01
    5.00    0.33837978    0.33837964    0.23387873    3.59826282    3.08134260    0.54489720   -1.00000000  -1.22430e+01
    5.00    0.34792756    0.34792741    0.25629394    3.60088078    3.08147994    0.54489720   -1.00000000  -1.22265e+01
    5.00    0.35763699    0.35763682    0.27871103    3.60355561    3.08171461    0.54489720   -1.00000000  -1.22103e+01
    5.00    0.37229591    0.37229574    0.31200358    3.60761854    3.08212311    0.54489720   -1.00000000  -1.21861e+01
    5.00    0.39029331    0.39029312    0.35222485    3.61263870    3.08250876    0.54489720   -1.00000000  -1.21563e+01
    5.00    0.41063053    0.41063032    0.39549343    3.61816435    3.08289124    0.54489720   -1.00000000  -1.21207e+01
    5.00    0.42524435    0.42524414    0.42621369    3.62211351    3.08291828    0.54489720   -1.00000000  -1.20964e+01
    5.00    0.44242414    0.44242391    0.46285439    3.62680548    3.08262122    0.54489720   -1.00000000  -1.20711e+01
    5.00    0.46001987    0.46001963    0.49849912    3.63124863    3.08166929    0.54489720   -1.00000000  -1.20435e+01
    5.00    0.48158400    0.48158373    0.54059399    3.63639104    3.07987845    0.54489720   -1.00000000  -1.20097e+01
    5.00    0.50241711    0.50241682    0.58134582    3.64128484    3.07755622    0.54489720   -1.00000000  -1.19796e+01
    5.00    0.51824661    0.51824631    0.60899409    3.64430109    3.07507746    0.54489720   -1.00000000  -1.19552e+01
    5.00    0.53106037    0.53106006    0.63163134    3.64676949    3.07292171    0.54489720   -1.00000000  -1.19366e+01
    5.00    0.54528207    0.54528175    0.65649888    3.64953524    3.07089066    0.54489720   -1.00000000  -1.19189e+01
    5.00    0.57172420    0.57172385    0.69764150    3.65344858    3.06572568    0.54489720   -1.00000000  -1.18846e+01
    5.00    0.58996738    0.58996702    0.72542511    3.65600622    3.06196032    0.54489720   -1.00000000  -1.18624e+01
    5.00    0.61519067    0.61519028    0.76083163    3.65896670    3.05653925    0.54489720   -1.00000000  -1.18331e+01
    5.00    0.63807422    0.63807381    0.79123176    3.66135094    3.05158569    0.54489720   -1.00000000  -1.18086e+01
    5.00    0.67391448    0.67391404    0.83358367    3.66438768    3.04404887    0.54489720   -1.00000000  -1.17686e+01
    5.00    0.69654725    0.69654679    0.85867992    3.66615014    3.03960877    0.54489720   -1.00000000  -1.17454e+01
    5.00    0.73468933    0.73468883    0.90066423    3.66911299    3.03240605    0.54489720   -1.00000000  -1.17103e+01
    5.00    0.75341346    0.75341295    0.92120821    3.67058139    3.02899216    0.54489720   -1.00000000  -1.16950e+01
    5.00    0.79055658    0.79055602    0.96197195    3.67353407    3.02236875    0.54489720   -1.00000000  -1.16678e+01
    5.00    0.81018719    0.81018661    0.98123760    3.67484108    3.01916115    0.54489720   -1.00000000  -1.16529e+01
    5.00    0.85025027    0.85024965    1.01605953    3.67701712    3.01330789    0.54489720   -1.00000000  -1.16222e+01
    5.00    0.87632572    0.87632508    1.03840819    3.67844934    3.00987748    0.54489720   -1.00000000  -1.16045e+01
    5.00    0.90986957    0.90986890    1.06760962    3.68032416    3.00514232    0.54489720   -1.00000000  -1.15844e+01
    5.00    0.94534611    0.94534540    1.09627206    3.68215944    3.00072920    0.54489720   -1.00000000  -1.15633e+01
    5.00    0.98920535    0.98920459    1.12833850    3.68410843    2.99615122    0.54489720   -1.00000000  -1.15387e+01
    5.00    1.02115614    1.02115535    1.15054554    3.68546770    2.99320452    0.54489720   -1.00000000  -1.15220e+01
    5.00    1.07719255    1.07719170    1.18714671    3.68771465    2.98878770    0.54489720   -1.00000000  -1.14948e+01
    5.00    1.19344221    1.19344123    1.25394279    3.69175865    2.98267125    0.54489720   -1.00000000  -1.14471e+01
    5.00    1.23038912    1.23038809    1.27310938    3.69290966    2.98129089    0.54489720   -1.00000000  -1.14339e+01
    5.00    1.30814452    1.30814341    1.31064418    3.69523111    2.97971529    0.54489720   -1.00000000  -1.14091e+01
    5.00    1.36688178    1.36688060    1.33676030    3.69687991    2.97927139    0.54489720   -1.00000000  -1.13924e+01
    5.00    1.45019441    1.45019314    1.37104742    3.69905824    2.97939299    0.54489720   -1.00000000  -1.13713e+01
    5.00    1.53225734    1.53225598    1.40210333    3.70101884    2.98008646    0.54489720   -1.00000000  -1.13526e+01
    5.00    1.59335209    1.59335066    1.42367699    3.70243234    2.98112538    0.54489720   -1.00000000  -1.13388e+01
    5.00    1.60960197    1.60960052    1.42963528    3.70279892    2.98104443    0.54489720   -1.00000000  -1.13353e+01
    5.00    1.65851156    1.65851005    1.44626518    3.70379492    2.98142234    0.54489720   -1.00000000  -1.13266e+01
    5.00    1.73748304    1.73748145    1.47215834    3.70538181    2.98207780    0.54489720   -1.00000000  -1.13112e+01
    5.00    1.85133165    1.85132992    1.50753616    3.70748221    2.98264794    0.54489720   -1.00000000  -1.12899e+01
    5.00    1.97006001    1.97005815    1.54224428    3.70943784    2.98277244    0.54489720   -1.00000000  -1.12687e+01
    5.00    2.08322888    2.08322688    1.57373905    3.71118100    2.98251073    0.54489720   -1.00000000  -1.12494e+01
    5.00    2.20678652    2.20678438    1.60630999    3.71288351    2.98177186    0.54489720   -1.00000000  -1.12289e+01
    5.00    2.34695740    2.34695509    1.64129655    3.71465344    2.98061034    0.54489720   -1.00000000  -1.12067e+01
    5.00    2.46765380    2.46765135    1.66988859    3.71600528    2.97920489    0.54489720   -1.00000000  -1.11882e+01
    5.00    2.54455376    2.54455122    1.68769331    3.71686341    2.97816108    0.54489720   -1.00000000  -1.11767e+01
    5.00    2.70768210    2.70767935    1.72412784    3.71852442    2.97535620    0.54489720   -1.00000000  -1.11525e+01
    5.00    2.95166245    2.95165940    1.77635336    3.72069387    2.96909309    0.54489720   -1.00000000  -1.11116e+01
    5.00    2.99379864    2.99379554    1.78538103    3.72109687    2.96799010    0.54489720   -1.00000000  -1.11089e+01
    5.00    3.60470112    3.60469725    1.91452284    3.72596215    2.93897163    0.54489720   -1.00000000  -1.10069e+01
    5.00    3.72767238    3.72766835    1.94170350    3.72692417    2.93007656    0.54489720   -1.00000000  -1.09816e+01
    5.00    3.86862556    3.86862136    1.97805608    3.72836159    2.91560896    0.54489720   -1.00000000  -1.09462e+01
    5.00    4.00680543    4.00680109    2.02040568    3.73007330    2.89545997    0.54489720   -1.00000000  -1.09037e+01
    5.00    4.18212894    4.18212434    2.07213383    3.73194327    2.86978659    0.54489720   -1.00000000  -1.08494e+01
    5.00    4.38075993    4.38075500    2.14164406    3.73421857    2.82953077    0.54489720   -1.00000000  -1.07720e+01
    5.00    4.55050871    4.55050345    2.21633439    3.73663840    2.78099126    0.54489720   -1.00000000  -1.06821e+01
    5.00    4.70192515    4.70191956    2.29744321    3.73944175    2.72529262    0.54489720   -1.00000000  -1.05802e+01
    5.00    4.80110442    4.80109857    2.35804177    3.74187970    2.68360754    0.54489720   -1.00000000  -1.05070e+01
    5.00    4.93545214    4.93544586    2.43606352    3.74625644    2.63500184    0.54489720   -1.00000000  -1.04057e+01
    5.00    5.08232582    5.08231900    2.50997294    3.75259071    2.59916265    0.54489720   -1.00000000  -1.03197e+01
    5.00    5.21402955    5.21402218    2.56775561    3.76020455    2.58300698    0.54489720   -1.00000000  -1.02606e+01
    5.00    5.32406631    5.32405844    2.61109230    3.76935667    2.58529648    0.54489720   -1.00000000  -1.02214e+01
    5.00    5.41418787    5.41417955    2.64595854    3.77932561    2.59764934    0.54489720   -1.00000000  -1.01972e+01
    5.00    5.49030239    5.49029368    2.67466679    3.78988685    2.61719688    0.54489720   -1.00000000  -1.01804e+01
    5.00    5.55602123    5.55601218    2.70001705    3.80012484    2.63798846    0.54489720   -1.00000000  -1.01684e+01
    5.00    5.62260358    5.62259416    2.72597698    3.81106615    2.66098923    0.54489720   -1.00000000  -1.01568e+01
    5.00    5.68304148    5.68303174    2.74961586    3.82114514    2.68227166    0.54489720   -1.00000000  -1.01457e+01
    5.00    5.74260096    5.74259089    2.77367006    3.83135476    2.70359434    0.54489720   -1.00000000  -1.01349e+01
    5.00    5.80251070    5.80250028    2.79863169    3.84188607    2.72531654    0.54489720   -1.00000000  -1.01239e+01
    5.00    5.86373330    5.86372253    2.82385268    3.85251046    2.74710009    0.54489720   -1.00000000  -1.01112e+01
    5.00    5.91568593    5.91567487    2.84593136    3.86174603    2.76578821    0.54489720   -1.00000000  -1.01004e+01
    5.00    5.97923559    5.97922414    2.87372209    3.87330257    2.78890194    0.54489720   -1.00000000  -1.00872e+01
    5.00    6.03637581    6.03636403    2.89733996    3.88311113    2.80841341    0.54489720   -1.00000000  -1.00717e+01
    5.00    6.09607810    6.09606597    2.92136566    3.89307780    2.82813845    0.54489720   -1.00000000  -1.00540e+01
    5.00    6.15512795    6.15511547    2.94561185    3.90311569    2.84788544    0.54489720   -1.00000000  -1.00369e+01
    5.00    6.21392891    6.21391607    2.97026389    3.91331641    2.86786169    0.54489720   -1.00000000  -1.00203e+01
    5.00    6.26492253    6.26490936    2.99203503    3.92235203    2.88555054    0.54489720   -1.00000000  -1.00064e+01
    5.00    6.32351402    6.32350048    3.01748595    3.93291641    2.90616894    0.54489720   -1.00000000  -9.99067e+00
    5.00    6.37238042    6.37236656    3.03895928    3.94188227    2.92373817    0.54489720   -1.00000000  -9.97796e+00
    5.00    6.42946746    6.42945322    3.06439734    3.95254549    2.94466691    0.54489720   -1.00000000  -9.96345e+00
    5.00    6.47751928    6.47750471    3.08600720    3.96168565    2.96274379    0.54489720   -1.00000000  -9.95169e+00
    5.00    6.52518529    6.52517040    3.10754098    3.97087404    2.98106460    0.54489720   -1.00000000  -9.94042e+00
    5.00    6.57242648    6.57241126    3.12897012    3.98010811    2.99964509    0.54489720   -1.00000000  -9.92967e+00
    5.00    6.61912028    6.61910472    3.15023738    3.98936811    3.01845562    0.54489720   -1.00000000  -9.91946e+00
    5.00    6.67667383    6.67665785    3.17644813    4.00093558    3.04225903    0.54489720   -1.00000000  -9.90751e+00
    5.00    6.72204485    6.72202853    3.19708584    4.01017558    3.06153303    0.54489720   -1.00000000  -9.89861e+00
    5.00    6.76672444    6.76670778    3.21735096    4.01937299    3.08096426    0.54489720   -1.00000000  -9.89032e+00
    5.00    6.81067645    6.81065945    3.23723707    4.02852225    3.10053456    0.54489720   -1.00000000  -9.88263e+00
    5.00    6.85391864    6.85390131    3.25664120    4.03758926    3.12021170    0.54489720   -1.00000000  -9.87557e+00
    5.00    6.90322851    6.90321079    3.27848084    4.04799841    3.14321660    0.54489720   -1.00000000  -9.86828e+00
    5.00    6.94866880    6.94865072    3.29856283    4.05768713    3.16484574    0.54489720   -1.00000000  -9.86190e+00
    5.00    6.99689830    6.99687982    3.31946286    4.06801130    3.18838005    0.54489720   -1.00000000  -9.85605e+00
    5.00    7.03750568    7.03748686    3.33685297    4.07674295    3.20855833    0.54489720   -1.00000000  -9.85156e+00
