# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
    5.00    0.10000000    0.09999999   -1.06941849    3.41238878    3.11176552    0.54489720   -1.00000000  -1.32962e+01
    5.00    0.11181495    0.11181494   -0.96186332    3.42259843    3.08665909    0.54489720   -1.00000000  -1.31252e+01
    5.00    0.11490728    0.11490727   -0.93384685    3.42533137    3.08046503    0.54489720   -1.00000000  -1.30927e+01
    5.00    0.11790323    0.11790322   -0.90675220    3.42800711    3.07462456    0.54489720   -1.00000000  -1.30646e+01
    5.00    0.12080890    0.12080889   -0.88051599    3.43063056    3.06911540    0.54489720   -1.00000000  -1.30400e+01
    5.00    0.12362992    0.12362991   -0.85507966    3.43320630    3.06391719    0.54489720   -1.00000000  -1.30183e+01
    5.00    0.12637103    0.12637102   -0.83039140    3.43573878    3.05901254    0.54489720   -1.00000000  -1.29991e+01
    5.00    0.13061204    0.13061203   -0.79200294    3.43979493    3.05178479    0.54489720   -1.00000000  -1.29743e+01
    5.00    0.13414589    0.13414587   -0.76051164    3.44309067    3.04592205    0.54489720   -1.00000000  -1.29533e+01
    5.00    0.13660928    0.13660926   -0.73840846    3.44547701    3.04203984    0.54489720   -1.00000000  -1.29410e+01
    5.00    0.14091334    0.14091332   -0.69967159    3.44976942    3.03563077    0.54489720   -1.00000000  -1.29228e+01
    5.00    0.14363335    0.14363334   -0.67545766    3.45244998    3.03171851    0.54489720   -1.00000000  -1.29112e+01
    5.00    0.14795084    0.14795083   -0.63676973    3.45688367    3.02597075    0.54489720   -1.00000000  -1.28965e+01
    5.00    0.15029589    0.15029587   -0.61684059    3.45915129    3.02306821    0.54489720   -1.00000000  -1.28876e+01
    5.00    0.15718513    0.15718511   -0.57899544    3.46251059    3.01587495    0.54489720   -1.00000000  -1.28361e+01
    5.00    0.16386524    0.16386522   -0.54269862    3.46574841    3.00922149    0.54489720   -1.00000000  -1.27950e+01
    5.00    0.16714178    0.16714176   -0.52503512    3.46733053    3.00607380    0.54489720   -1.00000000  -1.27775e+01
    5.00    0.17354453    0.17354451   -0.49077283    3.47041351    3.00014249    0.54489720   -1.00000000  -1.27473e+01
    5.00    0.17978107    0.17978104   -0.45772110    3.47340591    2.99464405    0.54489720   -1.00000000  -1.27223e+01
    5.00    0.18586530    0.18586527   -0.42576371    3.47631969    2.98954486    0.54489720   -1.00000000  -1.27015e+01
    5.00    0.19130078    0.19130075   -0.39743961    3.47892477    2.98522313    0.54489720   -1.00000000  -1.26861e+01
    5.00    0.19747987    0.19747984   -0.36549629    3.48188117    2.98054559    0.54489720   -1.00000000  -1.26700e+01
    5.00    0.20396207    0.20396203   -0.33596149    3.48493660    2.97720899    0.54489720   -1.00000000  -1.26429e+01
    5.00    0.21062936    0.21062932   -0.30831063    3.48802618    2.97483903    0.54489720   -1.00000000  -1.26118e+01
    5.00    0.21717645    0.21717641   -0.28148678    3.49102662    2.97270650    0.54489720   -1.00000000  -1.25859e+01
    5.00    0.22361261    0.22361257   -0.25542520    3.49394507    2.97079325    0.54489720   -1.00000000  -1.25643e+01
    5.00    0.22994688    0.22994683   -0.23007495    3.49678551    2.96908184    0.54489720   -1.00000000  -1.25461e+01
    5.00    0.23618722    0.23618718   -0.20539213    3.49955141    2.96755768    0.54489720   -1.00000000  -1.25308e+01
